Crop Type,Soil Moisture Level,Growth Day,Weather Forecast,Disease Presence,Maintenance Details
Barley,High,14,Cloudy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,116,Cloudy,Mild,Cotton requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,105,Cloudy,Mild,Rice requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,116,Cloudy,Severe,Wheat requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,6,Rainy,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,67,Rainy,None,Millets requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,112,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,53,Rainy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,18,Windy,Moderate,Cotton requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,Low,91,Windy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,High,6,Rainy,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,2,Windy,None,Barley requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,High,108,Rainy,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,95,Windy,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Wheat,Low,78,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,99,Sunny,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,45,Rainy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,64,Windy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Barley,High,56,Windy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,Low,98,Windy,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,High,111,Rainy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,28,Cloudy,Moderate,Sugarcane requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,77,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,92,Sunny,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,18,Rainy,Moderate,Rice requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,5,Rainy,Moderate,Sugarcane requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,20,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,44,Sunny,Severe,Maize requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,34,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,High,10,Sunny,Mild,Wheat requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,56,Rainy,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,108,Sunny,None,Barley requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,62,Rainy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,22,Windy,Severe,Groundnut requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Wheat,High,108,Cloudy,Mild,Wheat requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,120,Cloudy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,115,Rainy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,92,Rainy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,12,Sunny,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,88,Windy,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Low,113,Windy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,High,114,Rainy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,120,Windy,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Low,19,Sunny,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,9,Rainy,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,11,Windy,None,Cotton requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,Low,21,Cloudy,None,Groundnut requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,100,Rainy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,30,Cloudy,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,82,Sunny,Severe,Maize requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,13,Windy,Severe,Groundnut requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,High,82,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,Low,10,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,87,Sunny,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Low,29,Sunny,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Medium,95,Windy,Mild,Rice requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Wheat,High,75,Windy,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,High,61,Sunny,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,High,86,Cloudy,Moderate,Sugarcane requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,42,Windy,Moderate,Wheat requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Millets,Medium,113,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,4,Cloudy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,24,Sunny,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,10,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,14,Rainy,Mild,Groundnut requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,81,Windy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,High,89,Rainy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,71,Rainy,Moderate,Groundnut requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,56,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Low,23,Cloudy,None,Maize requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,27,Rainy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,62,Windy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,Low,89,Sunny,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,106,Windy,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,High,58,Sunny,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Medium,59,Cloudy,Severe,Cotton requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,80,Rainy,None,Sugarcane requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,48,Windy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,42,Cloudy,None,Groundnut requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,101,Windy,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Barley,Low,90,Windy,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,Medium,38,Windy,Moderate,Cotton requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,Low,114,Cloudy,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,81,Rainy,Severe,Millets requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,105,Windy,Mild,Rice requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Wheat,Medium,90,Rainy,Severe,Wheat requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,18,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,18,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,109,Rainy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,44,Sunny,Mild,Rice requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,40,Windy,Mild,Barley requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,Medium,84,Cloudy,Mild,Millets requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,47,Rainy,Severe,Groundnut requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,71,Sunny,None,Maize requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,45,Sunny,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,5,Sunny,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,80,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Medium,39,Cloudy,None,Maize requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,82,Cloudy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,33,Windy,Mild,Millets requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,High,37,Rainy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,41,Sunny,Moderate,Barley requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,99,Cloudy,Mild,Barley requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,120,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Millets,Low,64,Cloudy,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,51,Windy,None,Maize requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,Medium,95,Rainy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,94,Rainy,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,87,Windy,Severe,Millets requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Millets,High,22,Rainy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,108,Sunny,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,106,Rainy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,14,Sunny,Mild,Cotton requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,55,Rainy,Moderate,Sugarcane requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,114,Sunny,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,110,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,82,Rainy,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,92,Rainy,Mild,Maize requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,62,Rainy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,39,Cloudy,Severe,Wheat requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,49,Windy,Moderate,Cotton requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Cotton,Medium,17,Cloudy,Severe,Cotton requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,42,Rainy,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,87,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,59,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Millets,Medium,75,Rainy,Moderate,Millets requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,17,Cloudy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,86,Sunny,Mild,Maize requires attention due to mild disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,58,Cloudy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,110,Cloudy,Severe,Maize requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,1,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,60,Rainy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,88,Windy,Severe,Groundnut requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Rice,Medium,119,Sunny,None,Rice requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,106,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,26,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,82,Sunny,None,Sugarcane requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,34,Windy,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Low,108,Cloudy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,69,Cloudy,Mild,Rice requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,53,Windy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Maize,Medium,105,Rainy,Severe,Maize requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,106,Rainy,Moderate,Wheat requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,80,Windy,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Medium,15,Cloudy,None,Cotton requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,39,Rainy,None,Groundnut requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,112,Cloudy,None,Maize requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,10,Rainy,Mild,Groundnut requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,51,Windy,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,Low,92,Cloudy,Mild,Rice requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,114,Cloudy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,81,Windy,Severe,Maize requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Maize,High,99,Rainy,Moderate,Maize requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,94,Sunny,Moderate,Barley requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,97,Windy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Barley,Medium,5,Sunny,Moderate,Barley requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,13,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,102,Windy,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,Low,93,Rainy,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,71,Sunny,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,52,Windy,Severe,Rice requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Medium,70,Sunny,Mild,Wheat requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,117,Cloudy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,40,Sunny,Mild,Maize requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,12,Windy,Mild,Wheat requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Maize,High,94,Sunny,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,110,Rainy,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,52,Rainy,None,Barley requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,116,Rainy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,34,Windy,Mild,Wheat requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Cotton,Low,104,Sunny,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,10,Windy,None,Barley requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,Medium,95,Sunny,Mild,Cotton requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,88,Cloudy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,32,Cloudy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,55,Rainy,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,80,Rainy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,59,Windy,Mild,Maize requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Wheat,Medium,82,Cloudy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,86,Windy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Maize,High,29,Cloudy,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,79,Cloudy,Severe,Rice requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,5,Cloudy,None,Millets requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,29,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,60,Sunny,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Medium,43,Windy,None,Cotton requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Rice,High,17,Sunny,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,High,18,Windy,Moderate,Cotton requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,High,55,Rainy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,93,Rainy,Mild,Cotton requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,89,Rainy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,35,Windy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Rice,Medium,82,Rainy,Severe,Rice requires attention due to severe disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,54,Cloudy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,65,Sunny,Mild,Wheat requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
